Country,1km_abs,1km_rel,5km_abs,5km_rel,10km_abs,10km_rel,,10M_N,10M_PERCENT,20M_N,20M_PERCENT,5M_N,5M_PERCENT,Latitude,Longitude,local_gov_action_perc
American Samoa,29834,61,49271,100,49271,100,American Samoa,11676,25,19754,42,5318,11,-14.2754786,-170.7048298,
Cook Islands,13818,91,15228,100,15228,100,Cook Islands,4385,31,10440,73,946,7,-21.2074736,-159.7708145,
Fiji,249624,27,700285,76,836052,91,Fiji,258206,28,456158,49,85299,9,-18.1415884,178.4421662,0
French Polynesia,220224,79,279827,100,279827,100,French Polynesia,154981,55,208871,74,85235,30,-17.5373835,-149.5659964,
Guam,49554,30,159011,97,163760,100,Guam,6877,4,15269,9,3014,2,13.4773442,144.7521907,
Kiribati,128411,100,128411,100,128411,100,Kiribati,97450,74,131828,99,32033,24,1.3490778,173.0386512,26.1
Marshall Islands,41418,100,41418,100,41418,100,Marshall Islands,37359,96,38718,100,23514,61,7.0909924,171.3816354,75
Micronesia (Federated States of),98859,89,111655,100,111655,100,Micronesia (Federated States of),45582,40,67849,60,25128,22,6.920744,158.1627143,11.7
Nauru,10880,93,11753,100,11753,100,Nauru,8992,76,9974,84,3564,30,-0.5469031,166.9223528,0
New Caledonia,163039,57,258050,90,269231,94,New Caledonia,90004,31,161544,56,36176,12,-22.2745264,166.442419,
Niue,458,25,1542,83,1857,100,Niue,21,1,57,3,14,1,-19.0534159,-169.919199,
Northern Mariana Islands,32509,69,47032,100,47032,100,Northern Mariana Islands,12455,28,19258,43,1223,3,15.1909825,145.746743,
Palau,16667,93,17829,100,17829,100,Palau,3076,17,8465,48,1346,8,7.4954144,134.636753,100
Papua New Guinea,801033,8,2113726,21,2988854,30,Papua New Guinea,990132,10,1746498,17,393767,4,-9.4743301,147.1599504,0
Pitcairn,50,100,50,100,50,100,Pitcairn,,,,,,,-25.066667,-130.100205,
Samoa,130722,61,207736,97,213680,100,Samoa,28405,13,80079,37,11548,5,-13.8344639,-171.7649144,0
Solomon Islands,496158,65,696650,91,744161,98,Solomon Islands,267602,33,433763,54,149601,19,-9.4377975,159.9624175,0
Tokelau,2252,100,2252,100,2252,100,Tokelau,,,,,,,-9.19467,-171.8549752,
Tonga,88936,84,105525,100,105525,100,Tonga,28722,27,80770,77,3535,3,-21.1343401,-175.201808,33.5
Tuvalu,10242,100,10242,100,10242,100,Tuvalu,8894,91,9665,98,4008,41,-8.5199633,179.1982548,100
Vanuatu,196019,64,288491,94,302196,99,Vanuatu,37103,12,100416,31,11439,4,-17.7414972,168.3150163,100
Wallis and Futuna,7844,67,11624,100,11624,100,Wallis and Futuna,4280,38,7202,63,1708,15,-13.2820419,-176.1740224,
